ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
TNYA,2025-03-04,TN-201,NCT05836259,single_match,,1,1
WVE,2024-09-24,WVE-N531,NCT07209332,best_match,,1,1
COGT,2023-12-11,bezuclastinib,NCT05186753,best_match,,1,3
ARVN,2025-03-11,vepdegestrant,NCT05654623,best_match,,1,5
DWTX,2025-01-27,Halneuron,NCT05359133,best_match,,1,1
CADL,2024-12-19,CAN-2409,NCT01436968,best_match,,1,5
SABS,2025-01-28,SAB-142,NCT07187531,single_match,,1,1
PALI,2025-10-01,PALI-2108,NCT07428096,best_match,,1,2
PTGX,2023-03-07,JNJ-2113,,no_candidates,No trials found for 'JNJ-2113' or variations ['JNJ-2113'],2,0
TIL,2025-05-22,Amtagvi (lifileucel),NCT06743126,best_match,,1,1
KZIA,2025-11-25,paxalisib,NCT03970447,best_match,,1,5
TNYA,2024-12-17,TN-201,NCT05836259,single_match,,1,1
ARCT,2025-10-22,ARCT-032,NCT06747858,best_match,,1,1
OM,2023-10-13,OCS-01,NCT06172257,best_match,,1,4
ALEC,2025-10-22,latozinemab (AL001),NCT06111014,single_match,,1,1
ELDN,2025-11-07,tegoprubart,NCT05983770,best_match,,1,2
NKTR,2023-02-24,rezpegaldesleukin,NCT06136741,best_match,,1,4
NUVB,2025-11-19,IBTROZI (taletrectinib),,no_candidates,No trials found for 'IBTROZI (taletrectinib)' or variations ['IBTROZI'],2,0
MIRA,2024-07-23,Ketamir-2,,no_candidates,No trials found for 'Ketamir-2',1,0
PYXS,2025-12-18,MICVO,,no_candidates,No trials found for 'MICVO',1,0
ENGN,2023-10-26,EG-70,NCT04752722,best_match,,1,1
IXHL,2024-02-28,IHL-42X,NCT06146101,best_match,,1,1
SABS,2024-12-09,"palbociclib, olaparib, ribociclib, inavolisib, niraparib",NCT07005557,best_match,,2,5
OM,2025-11-11,detalimogene,,no_candidates,No trials found for 'detalimogene',1,0
GALT,2024-12-20,belapectin,NCT02462967,best_match,,1,5
TNXP,2024-06-12,TNX-102 SL (Tonmya),NCT03841773,single_match,,1,1
PMVP,2023-10-12,PC14586,NCT04585750,best_match,,1,5
OSTX,2024-12-11,OST-HER2,,no_candidates,No trials found for 'OST-HER2',1,0
ENGN,2025-11-11,detalimogene voraplasmid,,no_candidates,No trials found for 'detalimogene voraplasmid' or variations ['detalimogene'],2,0
PTHS,2025-04-17,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
PRLD,2024-12-20,PRT2527,NCT05665530,best_match,,1,2
NVCT,2024-11-14,NXP800,NCT05226507,best_match,,1,2
CABA,2025-10-31,rese-cel (formerly CABA-201),NCT06154252,best_match,,2,5
NBP,2025-06-03,NBP (NovaBridge Biosciences' givastomig and ragistomig),NCT05976152,best_match,,2,5
MIRA,2024-02-05,Ketamir-2,,no_candidates,No trials found for 'Ketamir-2',1,0
KOD,2023-07-24,tarcocimab tedromer,NCT06556368,best_match,,1,2
NRXP,2024-05-06,NRX-101,NCT07227103,best_match,,1,5
PROK,2023-11-20,Rilparencel,NCT02836574,best_match,,1,1
REPL,2023-12-05,RP1,NCT06264180,best_match,,1,5
PYXS,2024-11-21,MICVO,,no_candidates,No trials found for 'MICVO',1,0
STTK,2024-10-01,SL-172154,NCT05275439,best_match,,1,4
VIR,2023-07-20,VIR-2482,NCT05567783,best_match,,1,1
ORGO,2025-11-07,ReNu,NCT00929487,best_match,,1,5
HURA,2024-11-27,HURA,,no_candidates,No trials found for 'HURA',1,0
ACRS,2023-03-06,zunsemetinib,NCT05279417,best_match,,1,3
RLMD,2025-04-28,NDV-01,NCT07313891,best_match,,1,3
TRVI,2024-12-12,Haduvio,,no_candidates,No trials found for 'Haduvio',1,0
GANX,2025-12-18,GT-02287,NCT07280299,best_match,,1,2
NGNE,2024-11-12,NGN-401,NCT05898620,single_match,,1,1
IXHL,2025-07-15,IHL-42X,NCT06146101,best_match,,1,1
CGTX,2024-07-29,CT1812,NCT05531656,best_match,,1,5
IXHL,2024-02-21,IHL-42X,NCT06146101,best_match,,1,1
MESO,2024-03-28,ADI-PEG20,NCT03449901,best_match,,1,4
TVGN,2024-04-25,TVGN 489,,no_candidates,No trials found for 'TVGN 489' or variations ['TVGN'],2,0
NGNE,2024-11-04,NGN-401,NCT05898620,single_match,,1,1
