ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
CLYM,2022-04-25,-55.76,21.2,2.63,Loser,487.5,unmatched,
DBVT,2020-03-17,-55.7,36.65,1.52,Loser,1153.6,unmatched,
ASRT,2019-12-12,55.7,7.28,7.65,Gainer,74.8,unmatched,
MREO,2020-06-04,55.61,8.84,6.29,Gainer,59.0,unmatched,
ELTX,2021-10-27,-55.58,20.55,2.7,Loser,224.2,unmatched,
MSLE,2018-01-08,55.56,,,Gainer,256.9,unmatched,
SPRO,2022-09-06,55.43,13.61,4.07,Gainer,122.3,unmatched,
OMER,2020-03-03,55.36,4.88,11.33,Gainer,854.4,unmatched,
WVE,2019-12-16,-55.35,19.08,2.9,Loser,2587.6,unmatched,
MSLE,2022-11-29,55.17,5.03,10.97,Gainer,256.9,unmatched,
IXHL,2022-03-15,55.02,,,Gainer,50.6,unmatched,
FHTX,2021-12-13,54.96,8.72,6.3,Gainer,332.7,unmatched,
